timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
59.7717 0.0036201 0.00354452 -0.00987188 -0.0686263 0.02761 0.00978418 0.997212 1
59.8717 0.00381485 0.00395503 -0.0108493 -0.068469 0.0274877 0.00984337 0.997226 1
59.9717 0.0027932 0.00508546 -0.0107846 -0.0683646 0.0276058 0.0096066 0.997232 1
60.0717 0.00287017 0.00507315 -0.0101272 -0.0683186 0.0274549 0.0095153 0.99724 1
60.1717 0.00320914 0.0050365 -0.0103777 -0.06846 0.027507 0.00949278 0.997229 1
60.2717 0.00289402 0.00413848 -0.0101389 -0.068357 0.0275902 0.00962454 0.997233 1
60.3717 0.00326044 0.0052754 -0.0105942 -0.068334 0.0276751 0.00960348 0.997232 1
60.4717 0.00293841 0.00553141 -0.0107467 -0.0683241 0.0276089 0.00962845 0.997235 1
60.5717 0.00410257 0.0062027 -0.0102293 -0.0680514 0.0274997 0.00959238 0.997257 1
60.6717 0.00372907 0.00622085 -0.0107171 -0.0680804 0.0275841 0.00944038 0.997254 1
60.7717 0.00330317 0.00568477 -0.0103452 -0.0680844 0.0275174 0.00954452 0.997254 1
60.8719 0.0032685 0.00513049 -0.00994068 -0.068098 0.0274458 0.00952481 0.997256 1
60.9719 0.00217068 0.00501289 -0.00966763 -0.0683487 0.0276098 0.00968037 0.997232 1
61.0719 0.00469065 0.00415366 -0.00887805 -0.0683134 0.0276931 0.00957032 0.997234 1
61.1719 0.00401365 0.00464916 -0.0105988 -0.0683644 0.0276797 0.00961125 0.99723 1
61.2719 0.00397883 0.00430673 -0.0109283 -0.0683997 0.0275228 0.00965237 0.997232 1
61.3719 0.00274365 0.00463469 -0.0104675 -0.0683356 0.0274851 0.00958378 0.997238 1
61.4719 0.0029424 0.00510882 -0.0105777 -0.0683395 0.0274898 0.00957422 0.997237 1
61.5719 0.00245778 0.00537222 -0.0116335 -0.0683521 0.0274374 0.0095432 0.997238 1
61.6719 0.00286823 0.00599848 -0.0108633 -0.0684525 0.0275652 0.00961813 0.997227 1
61.7719 0.00295883 0.00560681 -0.0110167 -0.0685691 0.0274795 0.00961417 0.997222 1
61.8719 0.00261769 0.00514771 -0.0118589 -0.0685194 0.0274812 0.00967987 0.997224 1
61.9719 0.00360982 0.0048471 -0.010998 -0.0685575 0.0274971 0.00959284 0.997222 1
62.0719 0.00312955 0.00465348 -0.0110745 -0.0686721 0.0275466 0.00964054 0.997212 1
62.1719 0.00407617 0.00480171 -0.0106808 -0.0686638 0.0276055 0.00959313 0.997212 1
62.2719 0.00428043 0.00486729 -0.00950175 -0.068453 0.0276006 0.00968424 0.997225 1
62.3719 0.00261343 0.00491197 -0.00999162 -0.0685166 0.0275705 0.00972177 0.997222 1
62.4719 0.00484514 0.00507151 -0.00917372 -0.0684171 0.0275803 0.00968218 0.997228 1
62.5719 0.00443537 0.00465535 -0.0100853 -0.068509 0.0276068 0.00962218 0.997222 1
62.6719 0.00402353 0.00426905 -0.0100506 -0.0683778 0.0275862 0.00976657 0.99723 1
62.7719 0.00408248 0.0047706 -0.0112264 -0.0685779 0.0276257 0.00961815 0.997217 1
62.872 0.00480861 0.00447154 -0.0117239 -0.0690659 0.0269678 0.00985819 0.997199 1
62.972 0.00543382 0.00451103 -0.0109553 -0.0691074 0.0256608 0.00919177 0.997237 1
63.072 0.0110963 0.00422143 -0.00943717 -0.0675811 0.0275322 0.00956951 0.997288 1
63.172 0.0110757 0.00428395 -0.00813259 -0.0665548 0.0292869 0.00977697 0.997305 1
63.272 0.00602555 0.00336264 -0.00840966 -0.0665684 0.0285164 0.00895495 0.997334 1
63.372 0.00176507 0.00392347 -0.00988761 -0.0663879 0.0276518 0.00883751 0.997372 1
63.472 8.111e-05 0.00232389 -0.010844 -0.0648172 0.0305141 0.00919765 0.997388 1
63.572 -0.00858393 0.00399944 -0.0137153 -0.0645512 0.0296344 0.00860038 0.997437 1
63.672 -0.00949154 0.00455937 -0.0139316 -0.0643294 0.029446 0.00931432 0.997451 1
63.772 -0.0118658 0.00377014 -0.0154792 -0.0635178 0.0299568 0.0091266 0.997489 1
63.872 -0.0108295 0.00342183 -0.0148612 -0.0624767 0.0321442 0.00914869 0.997487 1
63.972 -0.0125649 0.0050532 -0.0143844 -0.0633707 0.0308768 0.00940425 0.997468 1
64.072 -0.0106902 0.00545239 -0.0139894 -0.0649815 0.028154 0.00892086 0.997449 1
64.172 -0.00868492 0.00328923 -0.0157343 -0.0649373 0.0300354 0.00935165 0.997393 1
64.272 -0.00632169 0.00205429 -0.0151682 -0.0625626 0.0331584 0.00900728 0.997449 1
64.372 -0.00881681 0.00131559 -0.0152459 -0.0631117 0.0319507 0.00770907 0.997465 1
64.472 -0.00445501 0.0015598 -0.0126609 -0.0576977 0.0258334 0.00267187 0.997996 1
64.572 0.000586665 -0.000132146 -0.0106589 -0.0522097 0.0219857 0.000602424 0.998394 1
